id_client,nom,prenom,email,date_naissance,sexe,ville,telephone,date_inscription,canal_acquisition
CL00000,Nom_0,Prenom_0,user0@test.com,2050-01-01,Homme,rabat,0600000000,2023-05-10,Facebook
CL00001,Nom_1,Prenom_1,user1@test.com,1993-05-01,Femme,tanger,0600000000,2023-05-10,Facebook
CL00002,Nom_2,Prenom_2,user2@test.com,1991-06-04,Homme,Tnja,0600000000,2023-05-10,Facebook
CL00003,Nom_3,Prenom_3,user3@test.com,1988-05-07,Homme,Tnja,0600000000,2023-05-10,Facebook
CL00004,Nom_4,Prenom_4,user4@test.com,1978-05-27,0,Tnja,0600000000,2023-05-10,Facebook
CL00005,Nom_5,Prenom_5,user5@test.com,1998-03-12,0,CASABLANCA,0600000000,2023-05-10,Facebook
CL00006,Nom_6,Prenom_6,user6@test.com,1991-09-19,m,rabat,0600000000,2023-05-10,Facebook
CL00007,Nom_7,Prenom_7,user7@test.com,1994-04-23,F,tanger,0600000000,2023-05-10,Facebook
CL00008,Nom_8,Prenom_8,user8@test.com,1977-09-02,Femme,CASABLANCA,0600000000,2023-05-10,Facebook
CL00009,Nom_9,Prenom_9,user9@test.com,1982-03-04,0,CASABLANCA,0600000000,2023-05-10,Facebook
CL00010,Nom_10,Prenom_10,user10@test.com,2002-02-18,F,rabat,0600000000,2023-05-10,Facebook
CL00011,Nom_11,Prenom_11,user11@test.com,1979-02-16,Femme,tanger,0600000000,2023-05-10,Facebook
CL00012,Nom_12,Prenom_12,user12@test.com,1981-07-30,f,casa,0600000000,2023-05-10,Facebook
CL00013,Nom_13,Prenom_13,user13@test.com,1979-01-31,1,casa,0600000000,2023-05-10,Facebook
CL00014,Nom_14,Prenom_14,user14@test.com,1978-02-25,0,rabat,0600000000,2023-05-10,Facebook
CL00015,Nom_15,Prenom_15,user15@test.com,1976-06-16,f,casa,0600000000,2023-05-10,Facebook
CL00016,Nom_16,Prenom_16,user16@test.com,1976-06-17,0,TNG,0600000000,2023-05-10,Facebook
CL00017,Nom_17,Prenom_17,user17@test.com,2002-02-11,F,CASABLANCA,0600000000,2023-05-10,Facebook
CL00018,Nom_18,Prenom_18,faux_email_sans_arobase_ni_domaine,1979-10-24,F,Tnja,0600000000,2023-05-10,Facebook
CL00019,Nom_19,Prenom_19,user19@test.com,1981-07-06,f,Tnja,0600000000,2023-05-10,Facebook
CL00020,Nom_20,Prenom_20,user20@test.com,1977-06-03,1,CASABLANCA,0600000000,2023-05-10,Facebook
CL00021,Nom_21,Prenom_21,user21@test.com,1994-04-04,Homme,casa,0600000000,2023-05-10,Facebook
CL00022,Nom_22,Prenom_22,user22@test.com,2001-09-19,Femme,rabat,0600000000,2023-05-10,Facebook
CL00023,Nom_23,Prenom_23,user23@test.com,1982-05-17,M,CASABLANCA,0600000000,2023-05-10,Facebook
CL00024,Nom_24,Prenom_24,user24@test.com,1985-11-27,F,TNG,0600000000,2023-05-10,Facebook
CL00025,Nom_25,Prenom_25,user25@test.com,1980-06-16,1,CASABLANCA,0600000000,2023-05-10,Facebook
CL00026,Nom_26,Prenom_26,user26@test.com,1996-07-03,0,rabat,0600000000,2023-05-10,Facebook
CL00027,Nom_27,Prenom_27,user27@test.com,1976-07-03,f,rabat,0600000000,2023-05-10,Facebook
CL00028,Nom_28,Prenom_28,user28@test.com,1993-11-26,1,tanger,0600000000,2023-05-10,Facebook
CL00029,Nom_29,Prenom_29,user29@test.com,1991-08-12,Homme,casa,0600000000,2023-05-10,Facebook
CL00030,Nom_30,Prenom_30,user30@test.com,1979-03-02,Femme,CASABLANCA,0600000000,2023-05-10,Facebook
CL00031,Nom_31,Prenom_31,user31@test.com,1976-04-26,M,rabat,0600000000,2023-05-10,Facebook
CL00032,Nom_32,Prenom_32,user32@test.com,1987-02-03,f,rabat,0600000000,2023-05-10,Facebook
CL00033,Nom_33,Prenom_33,user33@test.com,1995-10-08,Femme,tanger,0600000000,2023-05-10,Facebook
CL00034,Nom_34,Prenom_34,user34@test.com,1990-05-01,m,TNG,0600000000,2023-05-10,Facebook
CL00035,Nom_35,Prenom_35,user35@test.com,1998-02-18,Homme,casa,0600000000,2023-05-10,Facebook
